Enterprise Name,Enterprise/Tracking Number,Status
DRAIN ZAPPER,2016/288549/07,REGISTERED 
FLOOD ZAPPERS BUILDING MAINTENANCE,2005/149296/23,REGISTERED 
HUNGER ZAPPER,2005/069954/23,REGISTERED 
JET ZAPPER ELECTRICAL,2010/146319/23,REGISTERED 
NAP ZAPPER ANTI-DROWSY DEVICES,2002/100333/23,REGISTERED 
RAT ZAPPER (SA),2009/004458/07,REGISTERED 
SUN ZAPPER SOUTH AFRICA,2014/260576/07,REGISTERED 
ZAPPER B2B,2013/178982/07,REGISTERED 
ZAPPER DEVELOPMENT SOUTH AFRICA,2014/274825/07,REGISTERED 
ZAPPER INVESTMENTS,1988/026388/23,REGISTERED 
ZAPPER MARKETING (SOUTHERN AFRICA),2014/018049/07,REGISTERED 
ZAPPER RECRUITMENT SOLUTIONS,2017/043966/07,REGISTERED 
ZAPPER TRADING,2010/161985/23,REGISTERED